,100,0,0,,20
white pawn c2 -> c3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g4,1,0,0,GameStatus.IN_PROGRESS,0
white pawn h4 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,1,0,0.5,GameStatus.IN_PROGRESS,21
white rook a1 -> b1,1,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h2,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn h4 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,1,0,0.5,GameStatus.IN_PROGRESS,20
white rook a1 -> b1,1,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h2,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn h4 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,1,0,0.5,GameStatus.IN_PROGRESS,21
white rook a1 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b1,1,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h2,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn h4 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,1,0,0.5,GameStatus.IN_PROGRESS,21
white rook a1 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> h3,1,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h2,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn h4 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,1,0,0.5,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,1,0,0.5,GameStatus.IN_PROGRESS,21
white rook a1 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> f3,1,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h2,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn h4 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,1,0,0.5,GameStatus.IN_PROGRESS,21
white rook a1 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b5,1,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> b1,0,0,0,GameStatus.IN_PROGRESS,0
white knight a3 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h2,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn d2 -> d4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn e2 -> e4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn f2 -> f4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g3,0,0,0,GameStatus.IN_PROGRESS,0
white pawn g2 -> g4,0,0,0,GameStatus.IN_PROGRESS,0
white pawn h4 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
white knight b1 -> c3,1,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f5,1,0,0.5,GameStatus.IN_PROGRESS,0
black pawn g7 -> g6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> f3,1,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d6,1,0,0.5,GameStatus.IN_PROGRESS,0
black pawn d7 -> d5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
white knight g1 -> h3,1,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f6,1,0,0.5,GameStatus.IN_PROGRESS,0
black pawn f7 -> f5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h2,1,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,1,0,0.5,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
white rook h1 -> h3,1,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d5,1,0,0.5,GameStatus.IN_PROGRESS,0
black pawn e7 -> e6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
white pawn a2 -> a3,1,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e5,1,0,0.5,GameStatus.IN_PROGRESS,0
black pawn f7 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
white pawn a2 -> a4,1,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h5,1,0,0.5,GameStatus.IN_PROGRESS,0
white pawn b2 -> b3,1,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e5,1,0,0.5,GameStatus.IN_PROGRESS,0
black pawn f7 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
white pawn b2 -> b4,1,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,1,0,0.5,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn d7 -> d5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn e7 -> e5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn f7 -> f5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn g7 -> g5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn h7 -> h5,0,0,0,GameStatus.IN_PROGRESS,0
white pawn c2 -> c3,1,0,0,GameStatus.IN_PROGRESS,20
black rook a8 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b8,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> b4,0,0,0,GameStatus.IN_PROGRESS,0
black knight a6 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> h6,0,0,0,GameStatus.IN_PROGRESS,0
black knight g8 -> f6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn b7 -> b5,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c6,0,0,0,GameStatus.IN_PROGRESS,0
black pawn c7 -> c5,0,0,0,GameStatus.IN_PROGRESS,0
